title,lastrevid
Andrew Manepora,1191281042
Antoine Toussaint de Chazal,1235560456
Apollo Kaggwa,1219111354
Boris Furmanov,1096031779
Count Václav Antonín Chotek of Chotkov and Vojnín,1214682376
Dieter Kunzelmann,1231353179
Dumitru Nidelcu,1232773295
Dumitru Pulbere,1170743473
Eumelín González Sánchez,1225247475
Femi Falana,1250200022
Ferhat Bey Draga,1236738861
Gailan Ramiz,1249038049
Gevorg Ghazaryan (politician),1180063729
Hasan Seyidov,1148385245
Hồ Văn Nhựt,1238255201
Joel Krige,1228754883
Jyotirindra Bodhipriya Larma,1247242676
Lian Hmung Sakhong,1245373615
Luis Fley,1241795833
"Manuel Antônio Ribeiro de Castro, Baron of Santa Rita",1242284023
Mario Antonio Andino,1171961571
Marquis of Amboage,1220853317
Matti Saarinen,1169424743
Melko Čingrija,1120771298
Meysam Latifi,1250754433
Milan Kovačević,1214993232
Moisés Torres (politician),1227642782
Mário Viegas Carrascalão,1245418200
Nasim al-Safarjalani,1170899887
Nikola Spasovski,1249711457
Nuri al-Mismari,1240035909
Ofusu Kwabi,1103370473
Osama Hamdan,1242587109
Peter Falck,1243369901
Saheed Popoola,1211497548
Sanu Siva,1232670643
Sanusi Ohiare,1215474601
Sassoon Eskell,1249038351
Savić Marković Štedimlija,1245661005
Shambhavi Choudhary,1246349324
Shuaib Oba Abdulraheem,1246086159
Sohei Kamiya,1249272179
Syarif Hamid II of Pontianak,1232553110
Syed Shamsul Hasan,1232614245
Zouhair Maghzaoui,1250280157
Abai Tasbolatov,1243509983
Abudhok Ayang Kur,1167584381
Alex Ekwueme,1249045033
Andrzej Niegolewski,1250764155
B. H. Dunuwille,1165315563
Bojan Bojanovski,1249711386
Casimiro Antonio Marte Familia,1246218553
Choi Gyung-hwan,1211890387
Cyril Godwin Hart,1241090533
Daher Ahmed Farah,1227261426
Dahham ibn Dawwas,1249476465
"Fadrique de Toledo, 1st Marquess of Valdueza",1246276424
Fakhr Fakhr,1145193194
Gabriel Puaux,1242249386
Georgios Tertsetis,1234384469
Gonzalo Nin Novoa,1106146731
Guy Hascoët,1211160728
Ifeanyi Uchendu,1229889299
Iryna Stavchuk,1237135024
Joaquim Gomes de Souza,1176844004
Johnny Eduardo Pinnock,1242307359
José Maria de Sousa Horta e Costa,1242154729
Julius Lippert (historian),1248432097
Jürgen Mandl,1215054486
Kibiwott Munge,1088262691
Kimaiyo Sego,1095169588
Kiều Mộng Thu,1242490895
Koili Devi Chaudhary,1229219802
Kriangkrai Srirak,1250846650
Luis Almagro,1246000343
McKell Bonaby,1238577650
Mujibur Rahman (Chattogram politician),1245374586
Nervis Villalobos,1201838885
Nguyễn Thị Hồng (economist),1214023850
Paul Hay du Chastelet,1234583273
Pedro Brolo,1228345888
Penda Mbow,1152886496
Petar Dobrović,1250714747
Ronald Jay Williams,1180617130
Saleh Shehu Yipmong,1201221700
Sergej Sekulović,1183676446
Sergey Chemezov,1249801811
