article_title,country,revision_id,population,region,article_quality
Bernarda Gonçalves Martins,Angola,1210193481,36.7,MIDDLE AFRICA,Stub
João Baptista Borges,Angola,1227794006,36.7,MIDDLE AFRICA,C
Carolina Cerqueira,Angola,1241977204,36.7,MIDDLE AFRICA,C
Arlete Chimbinda,Angola,1177486404,36.7,MIDDLE AFRICA,Start
Kafundanga Chingunji,Angola,1191431794,36.7,MIDDLE AFRICA,Stub
Jeremias Chitunda,Angola,1220287872,36.7,MIDDLE AFRICA,Start
Abel Chivukuvuku,Angola,1165626565,36.7,MIDDLE AFRICA,Start
Fiel Domingos Constantino,Angola,1217387083,36.7,MIDDLE AFRICA,Stub
Adalberto Costa Júnior,Angola,1244123151,36.7,MIDDLE AFRICA,Stub
Adjany Costa,Angola,1242000475,36.7,MIDDLE AFRICA,Start
Álvaro Arnaldo Craveiro,Angola,1194150567,36.7,MIDDLE AFRICA,Stub
Raul Danda,Angola,1158035855,36.7,MIDDLE AFRICA,Stub
Diamantino Pedro Azevedo,Angola,1209522689,36.7,MIDDLE AFRICA,Stub
Faustina Fernandes Inglês de Almeida Alves,Angola,1209514085,36.7,MIDDLE AFRICA,Stub
Abraão Gourgel,Angola,1124441544,36.7,MIDDLE AFRICA,Stub
Jofre Van-Dúnem Júnior,Angola,1242307432,36.7,MIDDLE AFRICA,Stub
José Carvalho da Rocha,Angola,1242307441,36.7,MIDDLE AFRICA,Stub
José Luis de Matos,Angola,1242307337,36.7,MIDDLE AFRICA,Stub
Kambamba Kulaxingo,Angola,1093124425,36.7,MIDDLE AFRICA,Stub
Jesus Faria Maiato,Angola,1209631313,36.7,MIDDLE AFRICA,Stub
Manuel Neto da Costa,Angola,1209411144,36.7,MIDDLE AFRICA,Stub
Manuel Tavares de Almeida,Angola,1209411217,36.7,MIDDLE AFRICA,Stub
Marcos Alexandre Nhunga,Angola,1209413818,36.7,MIDDLE AFRICA,Stub
Maria Cândida Pereira Teixeira,Angola,1218506469,36.7,MIDDLE AFRICA,Stub
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Angola,1209513699,36.7,MIDDLE AFRICA,Stub
David Mendes,Angola,1024544204,36.7,MIDDLE AFRICA,Stub
Saíde Mingas,Angola,1242306726,36.7,MIDDLE AFRICA,GA
Fernando Faustino Muteka,Angola,1241977176,36.7,MIDDLE AFRICA,Stub
Pedro Mutinde,Angola,1209539718,36.7,MIDDLE AFRICA,Start
José Ndele,Angola,1154991360,36.7,MIDDLE AFRICA,Stub
Ana Paula Sacramento Neto,Angola,1227909121,36.7,MIDDLE AFRICA,Stub
Daniel Ntongi-Nzinga,Angola,1187961349,36.7,MIDDLE AFRICA,Stub
Paula Cristina Francisco Coelho,Angola,1209410923,36.7,MIDDLE AFRICA,Stub
Pedro Pedalé,Angola,1115715527,36.7,MIDDLE AFRICA,Stub
Elias Salupeto Pena,Angola,1220287990,36.7,MIDDLE AFRICA,Start
Johnny Eduardo Pinnock,Angola,1242307359,36.7,MIDDLE AFRICA,Stub
Santana André Pitra,Angola,1165626399,36.7,MIDDLE AFRICA,Stub
Francisco Manuel Monteiro de Queiróz,Angola,1250824530,36.7,MIDDLE AFRICA,Stub
José Aníbal Lopes Rocha,Angola,1242307479,36.7,MIDDLE AFRICA,Stub
José da Rocha,Angola,1153488959,36.7,MIDDLE AFRICA,Stub
Rosa Luís de Sousa Micolo,Angola,1246271741,36.7,MIDDLE AFRICA,Stub
Luís Gomes Sambo,Angola,1242306989,36.7,MIDDLE AFRICA,Start
Branca Manuel Espirito Santo,Angola,1142474441,36.7,MIDDLE AFRICA,Stub
João Ernesto dos Santos,Angola,1226309621,36.7,MIDDLE AFRICA,Stub
José Filomeno dos Santos,Angola,1228399791,36.7,MIDDLE AFRICA,C
Jonas Savimbi,Angola,1246026420,36.7,MIDDLE AFRICA,GA
Pinda Simão,Angola,1118804168,36.7,MIDDLE AFRICA,Stub
Manuel Bernardo de Sousa,Angola,1233607984,36.7,MIDDLE AFRICA,Stub
Augusto da Silva Tomás,Angola,1219179734,36.7,MIDDLE AFRICA,Stub
José Jacinto Van-Dúnem,Angola,1242841039,36.7,MIDDLE AFRICA,C
José Vieira Dias Van-Dúnem,Angola,1227004140,36.7,MIDDLE AFRICA,Stub
Luzia Inglês Van-Dúnem,Angola,1240720719,36.7,MIDDLE AFRICA,Start
Manuel Vicente,Angola,1250493481,36.7,MIDDLE AFRICA,C
Mfulupinga Nlando Victor,Angola,1243272129,36.7,MIDDLE AFRICA,Start
Clement Antonio,Antigua and Barbuda,1241563106,0.1,CARIBBEAN,Stub
Randolph Beazer,Antigua and Barbuda,1247631912,0.1,CARIBBEAN,Stub
Studiation Brown,Antigua and Barbuda,825090349,0.1,CARIBBEAN,Stub
Alex Browne (politician),Antigua and Barbuda,1247631794,0.1,CARIBBEAN,Stub
Colin O'Neil Browne,Antigua and Barbuda,1241563118,0.1,CARIBBEAN,Stub
James Carlisle,Antigua and Barbuda,1242152285,0.1,CARIBBEAN,C
Gail Christian,Antigua and Barbuda,1241563122,0.1,CARIBBEAN,Start
Mackenzie Frank,Antigua and Barbuda,1247632329,0.1,CARIBBEAN,Stub
Osbert Richard Frederick,Antigua and Barbuda,1241563130,0.1,CARIBBEAN,Start
Caleb Gardiner,Antigua and Barbuda,1241563135,0.1,CARIBBEAN,Stub
Shenella Mary Shadida Govia,Antigua and Barbuda,1241563138,0.1,CARIBBEAN,Stub
William Haynes-Smith,Antigua and Barbuda,1250666577,0.1,CARIBBEAN,C
Tim Hector,Antigua and Barbuda,1227026341,0.1,CARIBBEAN,C
Cheryl Mary Clare Hurst,Antigua and Barbuda,1242813942,0.1,CARIBBEAN,Stub
Wilfred Jacobs,Antigua and Barbuda,1246340247,0.1,CARIBBEAN,Stub
Rick James (actor),Antigua and Barbuda,1213836084,0.1,CARIBBEAN,C
Kiz Johnson,Antigua and Barbuda,1247632301,0.1,CARIBBEAN,Stub
Fabian Jones,Antigua and Barbuda,1247632282,0.1,CARIBBEAN,Stub
Johnathan Joseph (politician),Antigua and Barbuda,1241563151,0.1,CARIBBEAN,Stub
Kelvin Simon,Antigua and Barbuda,1241592202,0.1,CARIBBEAN,Start
Harold Lovell,Antigua and Barbuda,1241564680,0.1,CARIBBEAN,Start
Edmond Mansoor,Antigua and Barbuda,1248648606,0.1,CARIBBEAN,Start
David Massiah,Antigua and Barbuda,1247632248,0.1,CARIBBEAN,Stub
Joanne Massiah,Antigua and Barbuda,1241592526,0.1,CARIBBEAN,Stub
Dwayne George,Antigua and Barbuda,1247631631,0.1,CARIBBEAN,Stub
Knacyntar Nedd,Antigua and Barbuda,1247514093,0.1,CARIBBEAN,Stub
Melford Nicholas,Antigua and Barbuda,1241592535,0.1,CARIBBEAN,Start
Shawn Nicholas,Antigua and Barbuda,1247632364,0.1,CARIBBEAN,Stub
Bernard Percival,Antigua and Barbuda,1241564686,0.1,CARIBBEAN,Stub
Jamale Pringle,Antigua and Barbuda,1241592215,0.1,CARIBBEAN,Stub
Philip Shoul,Antigua and Barbuda,1247632342,0.1,CARIBBEAN,Stub
Rawdon Turner,Antigua and Barbuda,1247632346,0.1,CARIBBEAN,Stub
Alincia Williams-Grant,Antigua and Barbuda,1241592542,0.1,CARIBBEAN,Start
Juan Alemann,Argentina,1227499891,46.3,SOUTH AMERICA,Stub
Germán Alfaro,Argentina,1223272051,46.3,SOUTH AMERICA,C
Joaquín Samuel de Anchorena,Argentina,1227458965,46.3,SOUTH AMERICA,Start
Juan Agustín Augier,Argentina,1217815148,46.3,SOUTH AMERICA,Stub
Uladislao Augier,Argentina,1217815124,46.3,SOUTH AMERICA,Stub
Marco Aurelio Avellaneda,Argentina,1233010330,46.3,SOUTH AMERICA,Start
Joaquín Belgrano,Argentina,1229623675,46.3,SOUTH AMERICA,Start
Antonio Bermejo,Argentina,1225811362,46.3,SOUTH AMERICA,Start
